bucket_end,num_points,loss_mean,hm_loss_mean,reg_loss_mean
11600,10,0.26938999999999996,0.04527,0.20550000000000002
11700,10,0.24259999999999998,0.03263,0.19929000000000002
11800,10,0.24464000000000002,0.034730000000000004,0.20549999999999996
11900,10,0.25022999999999995,0.031079999999999997,0.20732
12000,10,0.25028,0.04264,0.19987000000000002
12100,10,0.24476,0.029390000000000006,0.2032
12200,10,0.25017999999999996,0.02851,0.21133999999999994
12300,10,0.25856,0.0393,0.20438
12400,10,0.26209000000000005,0.04214,0.19923000000000002
12500,10,0.25721000000000005,0.04155,0.19895000000000002
12600,10,0.25023,0.03577,0.19982
12700,10,0.26228,0.04834000000000001,0.20323000000000002
12800,10,0.25012,0.02386,0.20636000000000002
12900,10,0.24669999999999997,0.03267,0.20118999999999998
13000,10,0.25393,0.04072,0.19211
13100,10,0.25539999999999996,0.039529999999999996,0.20135999999999998
13200,10,0.25455,0.028610000000000003,0.21430000000000002
13300,10,0.25897,0.03231,0.20112000000000002
13400,10,0.25813,0.03315,0.2068
13500,10,0.2493,0.032580000000000005,0.20579
13600,10,0.24502000000000002,0.028740000000000005,0.20581
13700,10,0.24282000000000004,0.030690000000000002,0.20242
13800,10,0.25762,0.03577,0.21041000000000004
13900,10,0.25014,0.033069999999999995,0.20606
14000,10,0.24401,0.029160000000000002,0.20110999999999998
14100,10,0.24776999999999996,0.032589999999999994,0.20228000000000002
14200,10,0.2432,0.03491,0.19828
14300,10,0.24808,0.0354,0.20426000000000002
14400,10,0.25207,0.028810000000000002,0.20946000000000004
14500,10,0.25609000000000004,0.03579,0.20391000000000004
14600,10,0.24947,0.03009,0.20591999999999996
14700,10,0.25004,0.04071999999999999,0.20049999999999998
14800,10,0.26036000000000004,0.04127,0.20103999999999997
14900,10,0.25143,0.036320000000000005,0.2021
15000,10,0.24852,0.03537,0.20134
