[2026-03-25 00:09:16 KST] waiting for baseline final checkpoint: /home/dy-jang/projects/TruckDetection-main/results/baseline_b16_full/seed_42/model_final.pth
[2026-03-25 04:42:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:43:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:44:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:45:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:46:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:47:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:48:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:49:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:50:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:51:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:52:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:53:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:54:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:55:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:56:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:57:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:58:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:59:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:00:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:01:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:02:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:03:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:04:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:05:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:06:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:07:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:08:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:09:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:10:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:11:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:12:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:13:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:14:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:15:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:16:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:17:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:18:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:19:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:20:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:21:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:22:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:23:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:24:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:25:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:26:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:27:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:28:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:29:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:30:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:31:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:32:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:33:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:34:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:35:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:36:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:37:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:38:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:39:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:40:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:41:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:42:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:43:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:44:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:45:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:46:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:47:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:48:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:49:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:50:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:51:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:52:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:53:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:54:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:55:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:56:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:57:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:58:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 05:59:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:00:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:01:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:02:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:03:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:04:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:05:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:06:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:07:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:08:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:09:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:10:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:11:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:12:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:13:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:14:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:15:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:16:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:17:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:18:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:19:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:20:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:21:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:22:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:23:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:24:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:25:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:26:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:27:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:28:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:29:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 06:30:17 KST] baseline seed_42 still running; waiting for model_final
